user_name,email,competency,score,avg_score
Hazel Sandleford,hazel@gmail.com,Computer Anatomy,5,5.0
Hazel Sandleford,hazel@gmail.com,Data Types,2,2.111111111111111
Hazel Sandleford,hazel@gmail.com,Variables,1,2.5
Hazel Sandleford,hazel@gmail.com,Functions,2,2.0
Hazel Sandleford,hazel@gmail.com,Boolean Logic,1,3.0
Hazel Sandleford,hazel@gmail.com,Conditionals,1,3.25
Hazel Sandleford,hazel@gmail.com,Loops,4,2.5
Hazel Sandleford,hazel@gmail.com,Data Structures,3,2.0
Hazel Sandleford,hazel@gmail.com,Lists,5,3.75
Hazel Sandleford,hazel@gmail.com,Dictionaries,4,3.0
Hazel Sandleford,hazel@gmail.com,Working with Files,5,4.0
Hazel Sandleford,hazel@gmail.com,Exception Handling,5,4.25
Hazel Sandleford,hazel@gmail.com,Quality Assurance (QA),5,3.5
Hazel Sandleford,hazel@gmail.com,Object_Oriented Programming,2,2.5714285714285716
Hazel Sandleford,hazel@gmail.com,Recursion,4,2.5
Hazel Sandleford,hazel@gmail.com,Databases,2,2.6666666666666665
Hazel Sandleford,hazel@gmail.com,Cartography,0,0
Hazel Sandleford,hazel@gmail.com,Semaphore,0,0
Hazel Sandleford,hazel@gmail.com,Cloisonné,0,0
