user_name,email,competency,score,avg_score
Mark Hill,mark@gmail.com,Computer Anatomy,3,4.0
Mark Hill,mark@gmail.com,Data Types,4,3.5
Mark Hill,mark@gmail.com,Variables,5,3.0
Mark Hill,mark@gmail.com,Functions,4,2.0
Mark Hill,mark@gmail.com,Boolean Logic,5,5.0
Mark Hill,mark@gmail.com,Conditionals,5,3.375
Mark Hill,mark@gmail.com,Loops,2,2.111111111111111
Mark Hill,mark@gmail.com,Data Structures,3,2.0
Mark Hill,mark@gmail.com,Lists,2,2.0
Mark Hill,mark@gmail.com,Dictionaries,4,2.4
Mark Hill,mark@gmail.com,Working with Files,3,3.25
Mark Hill,mark@gmail.com,Exception Handling,2,3.5
Mark Hill,mark@gmail.com,Quality Assurance (QA),5,2.6
Mark Hill,mark@gmail.com,Object_Oriented Programming,3,3.4166666666666665
Mark Hill,mark@gmail.com,Recursion,4,3.857142857142857
Mark Hill,mark@gmail.com,Databases,1,2.3333333333333335
Mark Hill,mark@gmail.com,Cartography,0,0
Mark Hill,mark@gmail.com,Semaphore,0,0
Mark Hill,mark@gmail.com,Cloisonné,0,0
