id,competency,avg_score,user_id,user_name,user_score,assessment,date_taken
3,Variables,2.1538461538461537,1,Mark Hill,5,Working with Variables Quiz,2023/12/08 14:14:21
3,Variables,2.1538461538461537,2,Krystal Hill,1,Working with Variables Quiz,2023/12/08 14:12:47
3,Variables,2.1538461538461537,3,Daxter Hill,1,Working with Variables Quiz,2023/12/08 14:16:05
3,Variables,2.1538461538461537,4,Rune Hill,5,Working with Variables Quiz,2023/12/08 14:15:46
3,Variables,2.1538461538461537,5,Inactiboy The Third,4,Working with Variables Quiz,2023/12/08 14:12:23
3,Variables,2.1538461538461537,6,Inactigirl The Fifth,4,Working with Variables Quiz,2023/12/08 14:14:29
3,Variables,2.1538461538461537,7,Test Case,5,Working with Variables Quiz,2023/12/08 14:14:57
3,Variables,2.1538461538461537,8,Frodo Baggins,2,Working with Variables Quiz,2023/12/08 14:16:31
3,Variables,2.1538461538461537,9,Atrus Miller,1,Working with Variables Quiz,2023/12/08 14:14:44
3,Variables,2.1538461538461537,10,Alphonse Tartare,2,Working with Variables Quiz,2023/12/08 14:14:23
3,Variables,2.1538461538461537,11,Hazel Sandleford,1,Working with Variables Quiz,2023/12/08 14:14:45
3,Variables,2.1538461538461537,12,Fiver Watership,5,Working with Variables Quiz,2023/12/08 14:16:25
3,Variables,2.1538461538461537,13,Jordan Thorpe,0,,
3,Variables,2.1538461538461537,14,Brent Baggins,0,,
3,Variables,2.1538461538461537,15,Jeffrey Jam,0,,
